Input Name,Best Match,Match Score,Is Match,Match Category
Vitaly Alekseyevich OLEKSIN,"BOYARKIN, Victor Alekseyevich",75.0,False,Partial Match
Igor Vladimirovich MOZHILOVKSY,"POZHIDAEV, Igor Vladimirovich",81.35593220338984,False,Partial Match
Denis Aleksandrovich MIKUSHEV,"SVISHCHEV, Dmitry Aleksandrovich",75.40983606557377,False,Partial Match
Igor Sergeyevich KABUSHEV,"KUSOV, Ivan Sergeyevich",75.0,False,Partial Match
Oleg Anatolyevich Chernyshev,"NILOV, Oleg Anatolyevich",69.23076923076923,False,Partial Match
Igor Vasilyevich KARPENKO,"KARPENKA, Ihar Vasilyevich",86.27450980392157,True,Strong Match
Grigory Yuryevich AZARYONOK,"CHAYKA, Igor Yuryevich",69.38775510204081,False,Partial Match
Igor Petrovich TUR,"TURASHEV, Igor Olegovich",71.42857142857143,False,Partial Match
Sergey Alekseyevich Kalinovskiy,"BOBKOV, Sergei Alekseevich",66.66666666666667,False,Partial Match
Sergey Nikolayevich Khomenko,"KOTKIN, Sergey Nikolayevich",76.36363636363637,False,Partial Match
Igor Anatolyevich Plyshevskiy,"KOMAROV, Igor Anatolyevich",65.45454545454545,False,Partial Match
Dmitry Vasilyevich Reutskiy,"PYANOV, Dmitrii Vasilyevich",66.66666666666667,False,Partial Match
Oleg Nikolayevich Shulyakovskiy,"SMOLIN, Oleg Nikolayevich",67.85714285714286,False,Partial Match
Ivan Yuryevich Sokolovskiy,"KUSOV, Ivan Sergeyevich",57.14285714285714,False,Weak Match
Sergey Yevgenyevich Terebov,"VELICHKO, Sergey Yevgenyevich",71.42857142857143,False,Partial Match
Anatoly Anatolyevich Vasilyev,"SMOLIN, Anatoliy Anatolyevich",72.41379310344827,False,Partial Match
Aleksandr Pavlovich Vasilyev,"ZHIVLYUK, Aleksandr Pavlovich",73.6842105263158,False,Partial Match
Leonid Zhuravskiy,"GONIN, Leonid Mikhailovich",51.162790697674424,False,Weak Match
Andrey Alekseyevich Ravkov,"RYBAKOV, Andrei Alekseevich",71.69811320754718,False,Partial Match
Andrey Fedorovich Smal,"TRIFONOV, Andrey Fedorovich",73.46938775510203,False,Partial Match
Andrey Yuryevich Pavlyuchenko,"SAPELIN, Andrey Yurievich",62.96296296296296,False,Partial Match
Sergey Yevgenyevich Zubkov,"ZUBKOV, Sergei Yevgenevich",73.07692307692308,False,Partial Match
Oleg Sergeyevich Gaidukevich,"CHIRIKOV, Oleg Sergeyevich",62.96296296296296,False,Partial Match
Andrey Nikolayevich Gurtsevich,"IVANOV, Andrey Nikolayevich",70.17543859649122,False,Partial Match
Valeriy Valeryevich Ivankovich,"POGREBENKOV, Valeriy Ivanovich",60.0,False,Partial Match
Aleksandr Vladimirovich Vasiliuk,"PAN, Aleksandr Vladimirovich",80.0,False,Partial Match
Oleg Nikolayevich Belyakov,"SMOLIN, Oleg Nikolayevich",66.66666666666667,False,Partial Match
Sergei Yepikhov,"TEN, Sergey Yuryevich",55.55555555555556,False,Weak Match
Aleksandr Zhivlyuk,"DUGIN, Aleksandr",58.82352941176471,False,Weak Match
Aleksandr Alyoksa,"KARAMAN, Aleksandr",62.857142857142854,False,Partial Match
